fecha_hora,segundos,temperatura,meta_temp,humedad,meta_hum,foco,ingreso,humidificador,extractor
2026-09-02 06:00:55,505.1,21.3,20.5,46.7,50.0,0,0,0,0
2026-09-02 06:00:57,507.1,21.3,20.5,46.7,50.0,0,0,0,0
2026-09-02 06:00:59,509.1,21.3,20.5,46.8,50.0,0,0,0,0
2026-09-02 06:01:01,511.1,21.3,20.5,46.8,50.0,0,0,0,0
2026-09-02 06:01:03,513.1,21.3,20.5,46.8,50.0,0,0,0,0
2026-09-02 06:01:05,515.2,21.3,20.5,46.8,50.0,0,0,0,0
2026-09-02 06:01:07,517.2,21.3,20.5,46.8,50.0,0,0,0,0
2026-09-02 06:01:09,519.2,21.3,20.5,46.8,50.0,0,0,0,0
2026-09-02 06:01:11,521.2,21.3,20.5,46.8,50.0,0,0,0,0
2026-09-02 06:01:13,523.2,21.3,20.5,46.9,50.0,0,0,0,0
2026-09-02 06:01:15,525.2,21.2,20.5,46.8,50.0,0,0,0,0
2026-09-02 06:01:17,527.2,21.2,20.5,46.9,50.0,0,0,0,0
2026-09-02 06:01:19,529.2,21.2,20.5,46.9,50.0,0,0,0,0
2026-09-02 06:01:21,531.2,21.2,20.5,46.9,50.0,0,0,0,0
2026-09-02 06:01:23,533.2,21.2,20.5,46.9,50.0,0,0,0,0
2026-09-02 06:01:25,535.2,21.2,20.5,46.9,50.0,0,0,0,0
2026-09-02 06:01:27,537.2,21.2,20.5,46.9,50.0,0,0,0,0
2026-09-02 06:01:29,539.2,21.2,20.5,46.9,50.0,0,0,0,0
2026-09-02 06:01:31,541.2,21.2,20.5,46.9,50.0,0,0,0,0
2026-09-02 06:01:33,543.2,21.2,20.5,47.0,50.0,0,0,0,0
2026-09-02 06:01:35,545.3,21.2,20.5,47.0,50.0,0,0,0,0
2026-09-02 06:01:37,547.3,21.2,20.5,47.0,50.0,0,0,0,0
2026-09-02 06:01:39,549.3,21.2,20.5,47.0,50.0,0,0,0,0
2026-09-02 06:01:41,551.3,21.2,20.5,47.1,50.0,0,0,0,0
2026-09-02 06:01:43,553.3,21.2,20.5,47.1,50.0,0,0,0,0
2026-09-02 06:01:45,555.3,21.2,20.5,47.1,50.0,0,0,0,0
2026-09-02 06:01:47,557.3,21.2,20.5,47.1,50.0,0,0,0,0
2026-09-02 06:01:49,559.3,21.2,20.5,47.1,50.0,0,0,0,0
2026-09-02 06:01:51,561.3,21.2,20.5,47.1,50.0,0,0,0,0
2026-09-02 06:01:53,563.3,21.1,20.5,47.1,50.0,0,0,0,0
2026-09-02 06:01:55,565.3,21.1,20.5,47.2,50.0,0,0,0,0
2026-09-02 06:01:57,567.3,21.1,20.5,47.2,50.0,0,0,0,0
2026-09-02 06:01:59,569.3,21.1,20.5,47.2,50.0,0,0,0,0
2026-09-02 06:02:01,571.3,21.1,20.5,47.2,50.0,0,0,0,0
2026-09-02 06:02:03,573.3,21.1,20.5,47.2,50.0,0,0,0,0
2026-09-02 06:02:05,575.3,21.1,20.5,47.3,50.0,0,0,0,0
2026-09-02 06:02:07,577.4,21.1,20.5,47.3,50.0,0,0,0,0
2026-09-02 06:02:09,579.4,21.1,20.5,47.3,50.0,0,0,0,0
2026-09-02 06:02:11,581.4,21.1,20.5,47.3,50.0,0,0,0,0
2026-09-02 06:02:13,583.4,21.1,20.5,47.3,50.0,0,0,0,0
2026-09-02 06:02:15,585.4,21.1,20.5,47.3,50.0,0,0,0,0
2026-09-02 06:02:17,587.4,21.1,20.5,47.4,50.0,0,0,0,0
2026-09-02 06:02:19,589.4,21.1,20.5,47.3,50.0,0,0,0,0
2026-09-02 06:02:21,591.4,21.1,20.5,47.3,50.0,0,0,0,0
2026-09-02 06:02:23,593.4,21.1,20.5,47.3,50.0,0,0,0,0
2026-09-02 06:02:25,595.4,21.1,20.5,47.4,50.0,0,0,0,0
2026-09-02 06:02:27,597.4,21.1,20.5,47.4,50.0,0,0,0,0
2026-09-02 06:02:29,599.4,21.1,20.5,47.4,50.0,0,0,0,0
2026-09-02 06:02:31,601.4,21.1,20.5,47.4,50.0,0,0,0,0
2026-09-02 06:02:33,603.4,21.1,20.5,47.4,50.0,0,0,0,0
2026-09-02 06:02:35,605.4,21.1,20.5,47.4,50.0,0,0,0,0
2026-09-02 06:02:37,607.5,21.0,20.5,47.4,50.0,0,0,0,0
2026-09-02 06:02:39,609.5,21.0,20.5,47.4,50.0,0,0,0,0
2026-09-02 06:02:41,611.5,21.0,20.5,47.4,50.0,0,0,0,0
2026-09-02 06:02:43,613.5,21.0,20.5,47.4,50.0,0,0,0,0
2026-09-02 06:02:45,615.5,21.0,20.5,47.4,50.0,0,0,0,0
2026-09-02 06:02:47,617.5,21.0,20.5,47.4,50.0,0,0,0,0
2026-09-02 06:02:49,619.5,21.0,20.5,47.5,50.0,0,0,0,0
2026-09-02 06:02:51,621.5,21.0,20.5,47.5,50.0,0,0,0,0
2026-09-02 06:02:53,623.5,21.0,20.5,47.5,50.0,0,0,0,0
2026-09-02 06:02:55,625.5,21.0,20.5,47.4,50.0,0,0,0,0
2026-09-02 06:02:57,627.5,21.0,20.5,47.4,50.0,0,0,0,0
2026-09-02 06:02:59,629.5,21.0,20.5,47.4,50.0,0,0,0,0
2026-09-02 06:03:01,631.5,21.0,20.5,47.5,50.0,0,0,0,0
2026-09-02 06:03:03,633.5,21.0,20.5,47.5,50.0,0,0,0,0
2026-09-02 06:03:05,635.5,21.0,20.5,47.5,50.0,0,0,0,0
2026-09-02 06:03:07,637.6,21.0,20.5,47.5,50.0,0,0,0,0
2026-09-02 06:03:09,639.6,21.0,20.5,47.5,50.0,0,0,0,0
2026-09-02 06:03:11,641.6,21.0,20.5,47.5,50.0,0,0,0,0
2026-09-02 06:03:13,643.6,21.0,20.5,47.6,50.0,0,0,0,0
2026-09-02 06:03:15,645.6,21.0,20.5,47.6,50.0,0,0,0,0
2026-09-02 06:03:17,647.6,21.0,20.5,47.6,50.0,0,0,0,0
2026-09-02 06:03:19,649.6,21.0,20.5,47.6,50.0,0,0,0,0
2026-09-02 06:03:21,651.6,21.0,20.5,47.6,50.0,0,0,0,0
2026-09-02 06:03:23,653.6,21.0,20.5,47.6,50.0,0,0,0,0
2026-09-02 06:03:25,655.6,20.9,20.5,47.6,50.0,0,0,0,0
2026-09-02 06:03:27,657.6,20.9,20.5,47.6,50.0,0,0,0,0
2026-09-02 06:03:29,659.6,21.0,20.5,47.6,50.0,0,0,0,0
2026-09-02 06:03:31,661.6,21.0,20.5,47.7,50.0,0,0,0,0
2026-09-02 06:03:33,663.6,20.9,20.5,47.7,50.0,0,0,0,0
2026-09-02 06:03:35,665.6,20.9,20.5,47.7,50.0,0,0,0,0
2026-09-02 06:03:37,667.6,20.9,20.5,47.7,50.0,0,0,0,0
2026-09-02 06:03:39,669.7,20.9,20.5,47.7,50.0,0,0,0,0
2026-09-02 06:03:41,671.7,20.9,20.5,47.7,50.0,0,0,0,0
2026-09-02 06:03:43,673.7,20.9,20.5,47.7,50.0,0,0,0,0
2026-09-02 06:03:45,675.7,20.9,20.5,47.7,50.0,0,0,0,0
2026-09-02 06:03:47,677.7,20.9,20.5,47.7,50.0,0,0,0,0
2026-09-02 06:03:49,679.7,20.9,20.5,47.7,50.0,0,0,0,0
2026-09-02 06:03:51,681.7,20.9,20.5,47.7,50.0,0,0,0,0
2026-09-02 06:03:53,683.7,20.9,20.5,47.7,50.0,0,0,0,0
2026-09-02 06:03:55,685.7,20.9,20.5,47.7,50.0,0,0,0,0
2026-09-02 06:03:57,687.7,20.9,20.5,47.7,50.0,0,0,0,0
2026-09-02 06:03:59,689.7,20.9,20.5,47.7,50.0,0,0,0,0
2026-09-02 06:04:01,691.7,20.9,20.5,47.7,50.0,0,0,0,0
2026-09-02 06:04:03,693.7,20.9,20.5,47.7,50.0,0,0,0,0
2026-09-02 06:04:05,695.7,20.9,20.5,47.7,50.0,0,0,0,0
2026-09-02 06:04:07,697.7,20.9,20.5,47.7,50.0,0,0,0,0
2026-09-02 06:04:09,699.8,20.9,20.5,47.7,50.0,0,0,0,0
2026-09-02 06:04:11,701.8,20.9,20.5,47.7,50.0,0,0,0,0
2026-09-02 06:04:13,703.8,20.9,20.5,47.7,50.0,0,0,0,0
2026-09-02 06:04:15,705.8,20.9,20.5,47.7,50.0,0,0,0,0
2026-09-02 06:04:17,707.8,20.9,20.5,47.7,50.0,0,0,0,0
2026-09-02 06:04:19,709.8,20.8,20.5,47.7,50.0,0,0,0,0
2026-09-02 06:04:21,711.8,20.9,20.5,47.8,50.0,0,0,0,0
2026-09-02 06:04:23,713.8,20.9,20.5,47.8,50.0,0,0,0,0
2026-09-02 06:04:25,715.8,20.9,20.5,47.8,50.0,0,0,0,0
2026-09-02 06:04:27,717.8,20.9,20.5,47.8,50.0,0,0,0,0
2026-09-02 06:04:29,719.8,20.8,20.5,47.8,50.0,0,0,0,0
2026-09-02 06:04:31,721.8,20.8,20.5,47.8,50.0,0,0,0,0
