date,time,tara,tweight,dweight,pweight,chemical_id,MUESTRA,%Fe,%Cu,%Zn,%Mo,%Ins,pSol,CODIGO_MUESTRA,time_hhmm,motivo_error
2024-05-29,10:42:00,108.5,1126.5,129.5,1018.0,1716996087.0,Cola Scavenger L1,11.426,0.282,0.0,0.013,0.0,12.72,C_01_S04,10:42,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-05-29 a las 10:42.
2024-05-31,10:21:00,110.0,959.5,153.5,849.5,1717168571.0,Concentrado 1ra Limpieza L2,29.308,21.352,0.136,1.009,15.2,18.07,C_01_S09,10:21,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-05-31 a las 10:21.
2024-05-31,10:31:00,110.5,1215.0,161.0,1104.5,1717168593.0,Cola Scavenger L1,18.501,0.214,0.0,0.01,0.0,14.58,C_01_S04,10:31,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-05-31 a las 10:31.
2024-05-31,11:41:00,110.0,923.0,340.0,813.0,1717168683.0,Rebose Hidrociclones L2,2.275,0.66,0.006,0.024,0.0,41.82,C_01_S02,11:41,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-05-31 a las 11:41.
2024-06-03,10:41:00,110.5,1101.5,97.0,991.0,1717428638.0,Cola Scavenger L1,19.802,0.614,0.0,0.012,0.0,9.79,C_01_S04,10:41,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-06-03 a las 10:41.
2024-06-05,10:08:00,110.5,1105.0,124.0,994.5,1717599672.0,Cola Scavenger L1,10.341,0.263,0.0,0.013,0.0,12.47,C_01_S04,10:08,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-06-05 a las 10:08.
2024-06-10,12:04:00,110.5,1114.5,92.5,1004.0,1718038546.0,Cola Scavenger L1,11.576,0.481,0.0,0.01,0.0,9.21,C_01_S04,12:04,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-06-10 a las 12:04.
2024-06-12,10:35:00,108.5,1081.0,73.5,972.5,1718205778.0,Cola Scavenger L1,10.94,0.504,0.0,0.01,0.0,7.56,C_01_S04,10:35,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-06-12 a las 10:35.
2024-06-17,12:05:00,108.5,1073.0,88.0,964.5,1718643279.0,Cola Scavenger L1,9.625,0.256,0.0,0.007,0.0,9.12,C_01_S04,12:05,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-06-17 a las 12:05.
2024-06-21,10:46:00,108.5,1100.6,123.0,992.1,1718984436.0,Cola Scavenger L1,11.006,0.283,0.0,0.007,0.0,12.4,C_01_S04,10:46,Fallo Fecha/Hora/ID: No existe ensayo válido (IDs 17-26) el 2024-06-21 a las 10:46.
