date,time,tara,tweight,dweight,pweight,chemical_id,MUESTRA,%Fe,%Cu,%Zn,%Mo,%Ins,pSol,CODIGO_MUESTRA,time_hhmm
2024-04-14,6:57:00,111.0,853.5,192.5,742.5,1713095152.0,Concentrado Colectivo,28.782,28.943,1.884,1.338,5.0,25.93,C_01_S10,06:57
2024-04-15,11:20:00,111.0,853.0,223.0,742.0,1713197869.0,Concentrado Colectivo,27.02,21.906,0.122,1.839,14.62,30.05,C_01_S10,11:20
2024-04-17,11:59:00,111.0,851.5,210.5,740.5,1713372278.0,Concentrado Colectivo,28.691,23.194,0.071,1.384,11.2,28.43,C_01_S10,11:59
2024-04-19,12:10:00,110.0,846.5,199.0,736.5,1713546548.0,Concentrado Colectivo,29.39,23.392,0.137,1.11,9.62,27.02,C_01_S10,12:10
2024-04-22,10:57:00,111.0,800.0,105.5,689.0,1713800573.0,Concentrado Colectivo,28.77,26.862,0.226,1.047,7.34,15.31,C_01_S10,10:57
2024-04-24,11:00:00,110.0,855.5,193.0,745.5,1713974282.0,Concentrado Colectivo,28.55,26.658,0.0,1.04,0.0,25.89,C_01_S10,11:00
2024-04-26,11:30:00,111.0,876.0,240.5,765.0,1714147794.0,Concentrado Colectivo,29.048,24.199,0.0,1.646,9.72,31.44,C_01_S10,11:30
2024-04-29,11:43:00,110.0,892.5,243.5,782.5,1714407947.0,Concentrado Colectivo,27.417,22.981,0.0,1.288,12.48,31.12,C_01_S10,11:43
2024-05-01,10:35:00,111.0,887.0,267.0,776.0,1714576880.0,Concentrado Colectivo,29.679,24.059,0.739,1.623,7.98,34.41,C_01_S10,10:35
2024-05-03,11:29:00,111.0,894.5,248.5,783.5,1714753109.0,Concentrado Colectivo,29.644,22.822,0.122,1.308,12.36,31.72,C_01_S10,11:29
2024-05-06,11:31:00,111.0,897.5,254.0,786.5,1715012380.0,Concentrado Colectivo,26.946,23.909,0.052,3.4,12.98,32.29,C_01_S10,11:31
2024-05-08,10:59:00,110.0,828.0,136.0,718.0,1715183923.0,Concentrado Colectivo,29.466,27.199,0.057,3.179,5.6,18.94,C_01_S10,10:59
2024-05-15,10:57:00,111.0,788.5,142.5,677.5,1715788027.0,Concentrado Colectivo,30.176,24.225,0.0,1.948,0.0,21.03,C_01_S10,10:57
2024-05-17,11:01:00,110.0,826.0,173.0,716.0,1715960390.0,Concentrado Colectivo,30.054,23.88,0.092,1.601,9.5,24.16,C_01_S10,11:01
2024-05-20,11:23:00,111.0,880.0,235.5,769.0,,Concentrado Colectivo,29.722,22.885,0.098,1.638,11.1,30.62,C_01_S10,11:23
2024-05-22,15:30:00,110.0,889.0,250.0,779.0,1716408812.0,Concentrado Colectivo,27.114,24.371,0.092,1.314,0.0,32.09,C_01_S10,15:30
2024-05-24,11:47:00,110.0,858.5,194.0,748.5,1716568098.0,Concentrado Colectivo,26.673,29.964,0.609,0.582,4.5,25.92,C_01_S10,11:47
2024-05-29,10:47:00,111.0,883.0,222.5,772.0,1716997486.0,Concentrado Colectivo,30.252,25.622,0.0,0.736,9.9,28.82,C_01_S10,10:47
2024-05-31,10:32:00,110.0,749.5,196.0,639.5,1717168598.0,Concentrado Colectivo,27.78,23.184,0.0,1.06,12.54,30.65,C_01_S10,10:32
