date,time, tara , tweight , dweight , pweight ,chemical_id,MUESTRA,pFe,pCu,pZn,pMo,pIns,pSol
2022-12-14,10:20:00,  109.5 ,1216.,  360.0 ,1106.5,4878,Rebose Hidrociclones L1,  2.459 ,  0.421 ,  0.003 ,  0.016 ,  0   ,32.54
2022-12-14,10:21:00,  110.0 ,1070.,  283.5 ,960.,4880,Concentrado Colectivo,  29.490 ,  24.331 ,  0.068 ,  1.030 ,  10.100 ,29.53
2022-12-14,10:23:00,  109.0 ,1219.,  362.0 ,1110.,4881,Concentrado Primario L2,  27.840 ,  16.188 ,  0.058 ,  0.670 ,  22.400 ,32.61
2022-12-14,10:25:00,  110.0 ,1192.,  310.5 ,1082.,4882,Concentrado Primario L1,  27.270 ,  14.201 ,  0.054 ,  0.620 ,  24.240 ,28.70
2022-12-19,12:22:00,  109.0 ,904.,  316.0 ,795.,4890,Concentrado Primario L2,  27.860 ,  12.116 ,  0.045 ,  0.420 ,  24.260 ,39.75
2022-12-19,12:23:00,  109.0 ,1242.,  388.5 ,1133.,4888,Relave Final,1.832,0.048,0.000,0.002,0.000,34.29
2022-12-19,12:25:00,  110.0 ,1179.5,  293.0 ,1069.5,4891,Concentrado Primario L1,  28.440 ,  13.208 ,  0.055 ,  0.530 ,  22.600 ,27.40
2022-12-19,12:29:00,  110.0 ,1136.,  181.5 ,1026.,4887,Rebose Hidrociclones L2,  2.591 ,  0.612 ,  0.003 ,  0.015 ,  0   ,17.69
2022-12-19,12:31:00,  110.0 ,1004.,  217.5 ,894.,4889,Concentrado Colectivo,  30.570 ,  24.726 ,  0.079 ,  0.900 ,  9.060 ,24.33
2022-12-21,11:26:00,  110.0 ,1260.,  410.5 ,1150.,4897,Relave Final,2.202,0.055,0.000,0.003,0.000,35.70
2022-12-21,11:29:00,  108.0 ,1327.5,  520.5 ,1219.5,4895,Rebose Hidrociclones L1,  2.635 ,  0.484 ,  0.005 ,  0.014 ,  0   ,42.68
2022-12-21,11:32:00,  109.0 ,1300.,  475.5 ,1191.,4896,Rebose Hidrociclones L2,  2.829 ,  0.598 ,  0.005 ,  0.017 ,  0   ,39.92
2022-12-21,11:33:00,  109.0 ,1019.,  236.0 ,910.,4898,Concentrado Colectivo,  28.180 ,  25.920 ,  0.112 ,  1.090 ,  11.780 ,25.93
2022-12-21,11:35:00,  109.5 ,1254.5,  447.5 ,1145.,4899,Concentrado Primario L2,  25.820 ,  17.880 ,  0.092 ,  0.660 ,  24.460 ,39.08
2022-12-21,11:37:00,  111.5 ,1269.,  403.0 ,1157.5,4900,Concentrado Primario L1,  27.900 ,  14.500 ,  0.092 ,  0.630 ,  23.660 ,34.82
2022-12-26,11:52:00,  108.0 ,1143.,  394.0 ,1035.,4905,Rebose Hidrociclones L1,  2.361 ,  0.394 ,  0.003 ,  0.023 ,  0   ,38.07
2022-12-26,11:53:00,  110.0 ,933.5,  230.0 ,823.5,4908,Concentrado Colectivo,  27.800 ,  23.970 ,  0.072 ,  1.350 ,  13.160 ,27.93
2022-12-26,11:55:00,  109.0 ,1134.,  338.0 ,1025.,4907,Relave Final,2.153,0.044,0.000,0.003,0.000,32.98
2022-12-26,11:57:00,  109.5 ,983.5,  101.5 ,874.,4910,Concentrado Primario L1,  21.590 ,  14.580 ,  0.046 ,  0.877 ,  34.240 ,11.61
2022-12-26,11:58:00,  110.0 ,1195.,  427.0 ,1085.,4906,Rebose Hidrociclones L2,  2.385 ,  0.518 ,  0.003 ,  0.027 ,  -   ,39.35
2022-12-26,12:00:00,  109.0 ,1176.5,  402.0 ,1067.5,4909,Concentrado Primario L2,  25.280 ,  16.480 ,  0.050 ,  0.920 ,  26.600 ,37.66
2022-12-28,09:52:00,  109.5 ,1160.,  312.0 ,1050.5,4918,Concentrado Primario L2,  23.140 ,  18.340 ,  0.176 ,  1.080 ,  27.020 ,29.70
2022-12-28,09:54:00,  112.0 ,1296.5,  474.5 ,1184.5,4914,Rebose Hidrociclones L1,  2.112 ,  0.478 ,  0.004 ,  0.032 ,  -   ,40.06
2022-12-28,09:56:00,  109.0 ,1015.,  230.5 ,906.,4917,Concentrado Colectivo,  26.840 ,  27.010 ,  0.261 ,  1.560 ,  10.520 ,25.44
2022-12-28,09:59:00,  109.0 ,1319.5,  516.5 ,1210.5,4915,Rebose Hidrociclones L2,  2.129 ,  0.568 ,  0.004 ,  0.037 ,  -   ,42.67
2022-12-28,10:01:00,  111.5 ,1086.,  172.5 ,974.5,4919,Concentrado Primario L1,  22.730 ,  17.150 ,  0.176 ,  1.030 ,  29.040 ,17.70
2022-12-28,10:02:00,  110.0 ,1226.,  346.5 ,1116.,4916,Relave Final,1.688,0.059,0.000,0.008,0.000,31.05
2023-01-02,11:44:00,  112.0 ,1225.,  384.0 ,1113.,4922,Rebose Hidrociclones L1,  2.650 ,  0.369 ,  0.006 ,  0.020 ,,34.50
2023-01-02,11:48:00,  110.0 ,1185.5,  339.0 ,1075.5,4924,Relave Final,2.424,0.050,0.000,0.005,0.000,31.52
2023-01-02,11:50:00,  111.5 ,902.5,  107.0 ,791.,4927,Concentrado Primario L1,  22.610 ,  13.930 ,  0.128 ,  0.798 ,  33.100 ,13.53
2023-01-02,11:53:00,  109.5 ,1238.5,  384.0 ,1129.,4926,Concentrado Primario L2,  26.660 ,  13.530 ,  0.122 ,  0.745 ,  25.900 ,34.01
2023-01-02,11:57:00,  109.0 ,983.5,  158.5 ,874.5,4925,Concentrado Colectivo,  30.110 ,  24.480 ,  0.204 ,  1.156 ,  8.680 ,18.12
2023-01-02,11:58:00,  109.0 ,1088.,  169.0 ,979.,4923,Rebose Hidrociclones L2,  3.367 ,  0.405 ,  0.006 ,  0.022 ,  -   ,17.26
2023-01-04,10:48:00,  109.0 ,1113.,  190.5 ,1004.,4932,Relave Final,3.295,0.053,0.000,0.006,0.000,18.97
2023-01-04,10:52:00,  108.0 ,1266.,  371.5 ,1158.,4931,Rebose Hidrociclones L1,  2.524 ,  0.312 ,  0.003 ,  0.030 ,  -   ,32.08
2023-01-04,10:54:00,  110.0 ,949.,  131.5 ,839.,4933,Concentrado Colectivo,  28.970 ,  22.390 ,  0.084 ,  2.248 ,  11.320 ,15.67
2023-01-09,11:03:00,  110.0 ,1013.,  241.0 ,903.,4939,Concentrado Colectivo,30.280,23.570,0.094,1.490,9.280,26.69
2023-01-09,11:10:00,  109.0 ,1240.5,  360.5 ,1131.5,4938,Relave Final,1.775,0.034,0.000,0.003,0.000,31.86
2023-01-09,11:14:00,  108.0 ,1157.5,  247.5 ,1049.5,4937,Rebose Hidrociclones L1,2.135,0.366,0.003,0.025,0.000,23.58
2023-01-11,15:19:00,  108.0 ,1306.,  466.0 ,1198.,4943,Rebose Hidrociclones L1,2.247,0.361,0.004,0.020,0.000,38.90
2023-01-11,15:22:00,  109.0 ,1180.,  260.0 ,1071.,4944,Relave Final,2.041,0.036,0.000,0.004,0.000,24.28
2023-01-11,15:24:00,  110.0 ,1056.,  293.0 ,946.,4945,Concentrado Colectivo,28.880,23.570,0.166,1.080,7.860,30.97
2023-01-11,15:25:00,  109.0 ,1251.5,454.0,1142.5,4946,Concentrado Primario L2,24.340,16.480,0.107,0.810,22.360,39.74
2023-01-16,22:08:00,  110.0 ,1198.,290.5,1088.,4956,Relave Final,2.762,0.032,0.000,0.002,0.000,26.70
2023-01-16,22:12:00,  109.0 ,931.,106.0,822.,4957,Concentrado Colectivo,31.250,22.600,0.159,0.924,6.620,12.90
2023-01-16,22:17:00,  110.0 ,1160.,221.5,1050.,4955,Rebose Hidrociclones L2,3.545,0.315,0.004,0.012,0.000,21.10
2023-01-16,22:24:00,  108.0 ,1249.,357.5,1141.,4954,Rebose Hidrociclones L1,3.378,0.302,0.004,0.011,0.000,31.33
2023-01-18,09:43:00,  110.0 ,1290.5,  432.0 ,1180.5,4963,Rebose Hidrociclones L2,3.632,0.300,0.005,0.016,0.000,36.59
2023-01-18,09:45:00,  110.0 ,1197.,  285.5 ,1087.,4964,Relave Final,3.276,0.039,0.000,0.003,0.000,26.26
2023-01-18,09:47:00,  109.0 ,969.,  149.5 ,860.,4965,Concentrado Colectivo,30.090,22.698,0.244,1.460,8.240,17.38
2023-01-18,09:49:00,  109.5 ,1225.,  407.5 ,1115.5,4966,Concentrado Primario L2,29.210,13.480,0.140,0.776,17.940,36.53
2023-01-23,10:41:00,  108.0 ,1269.5,  415.5 ,1161.5,4975,Rebose Hidrociclones L1,2.975,0.319,0.003,0.015,0.000,35.77
2023-01-23,10:43:00,  109.0 ,1304.,  462.5 ,1195.,4976,Rebose Hidrociclones L2,3.105,0.350,0.003,0.016,0.000,38.70
2023-01-23,10:46:00,  110.0 ,1197.,  289.0 ,1087.,4977,Relave Final,2.684,0.043,0.000,0.003,0.000,26.59
2023-01-23,10:48:00,  109.0 ,960.5,  146.5 ,851.5,4978,Concentrado Colectivo,30.890,25.873,0.129,1.200,5.360,17.20
2023-01-23,10:49:00,  109.0 ,1288.,  484.5 ,1179.,4979,Concentrado Primario L2,30.170,14.516,0.071,0.700,20.160,41.09
2023-01-25,10:41:00,  109.0 ,1189.5,  271.5 ,1080.5,4986,Relave Final,3.090,0.070,0.000,0.003,0.000,25.13
2023-01-25,10:43:00,  110.0 ,1316.5,  470.5 ,1206.5,4988,Concentrado Primario L2,31.440,17.479,0.111,0.542,17.120,39.00
2023-01-25,10:45:00,  110.0 ,984.,  130.0 ,874.,4987,Concentrado Colectivo,31.570,29.625,0.193,0.829,4.080,14.87
2023-01-25,10:51:00,  109.5 ,1244.,  350.0 ,1134.5,4984,Rebose Hidrociclones L1,3.560,0.449,0.006,0.013,0.000,30.85
2023-01-25,01:26:24,  110.0 ,1302.,  435.5 ,1192.,4985,Rebose Hidrociclones L2,3.525,0.545,0.006,0.015,0.000,36.54
2023-01-27,10:42:00,  108.0 ,1312.,  465.0 ,1204.,4989,Rebose Hidrociclones L1,3.019,0.345,0.004,0.016,0.000,38.62
2023-01-27,10:45:00,  109.0 ,1322.5,  490.5 ,1213.5,4990,Rebose Hidrociclones L2,2.786,0.512,0.005,0.020,0.000,40.42
2023-01-27,10:47:00,  110.0 ,1176.,  239.0 ,1066.,4991,Relave Final,2.640,0.044,0.000,0.004,0.000,22.42
2023-01-27,10:49:00,  109.0 ,1026.,  214.0 ,917.,4992,Concentrado Colectivo,32.880,21.923,0.162,0.969,8.680,23.34
2023-01-27,11:24:00,  109.0 ,902.,  222.0 ,793.,4993,Concentrado Primario L2,31.020,14.911,0.104,0.660,19.200,27.99
